user_id,hour_of_day,month_id,watch_date,day_of_week,day_name,day_classification,month_name,Tv_Channel,watch_time,duration,UserID,Region,age,age_groups,email_flag,social_media_flag,Race,gender
860858,17,201603,2016-03-05,65,Sat,weekend,Mar,SuperSport Blitz,17:24:00,00:03:20,860858,Limpopo,34,Youth,1,1,black,male
773002,10,201602,2016-02-09,40,Tue,weekday,Feb,Cartoon Network,10:53:00,00:02:07,773002,Gauteng,25,Youth,1,1,black,male
773002,6,201602,2016-02-09,40,Tue,weekday,Feb,Trace TV,06:29:00,00:01:21,773002,Gauteng,25,Youth,1,1,black,male
773002,7,201602,2016-02-09,40,Tue,weekday,Feb,Channel O,07:14:00,00:04:03,773002,Gauteng,25,Youth,1,1,black,male
773002,17,201602,2016-02-03,34,Wed,weekday,Feb,kykNET,17:33:00,00:01:30,773002,Gauteng,25,Youth,1,1,black,male
773002,17,201602,2016-02-03,34,Wed,weekday,Feb,Boomerang,17:40:00,00:00:29,773002,Gauteng,25,Youth,1,1,black,male
773002,18,201602,2016-02-03,34,Wed,weekday,Feb,Cartoon Network,18:20:00,00:01:47,773002,Gauteng,25,Youth,1,1,black,male
773004,5,201602,2016-02-21,52,Sun,weekend,Feb,Trace TV,05:22:00,00:03:45,773004,North West,32,Youth,1,1,black,male
773004,13,201603,2016-03-02,62,Wed,weekday,Mar,Channel O,13:21:00,00:22:54,773004,North West,32,Youth,1,1,black,male
773004,15,201602,2016-02-25,56,Thu,weekday,Feb,Channel O,15:25:00,00:00:33,773004,North West,32,Youth,1,1,black,male
773004,14,201601,2016-01-08,08,Fri,weekday,Jan,Africa Magic,14:40:00,00:00:02,773004,North West,32,Youth,1,1,black,male
773004,5,201601,2016-01-23,23,Sat,weekend,Jan,Trace TV,05:00:00,00:00:09,773004,North West,32,Youth,1,1,black,male
773004,15,201601,2016-01-28,28,Thu,weekday,Jan,Africa Magic,15:10:00,00:01:44,773004,North West,32,Youth,1,1,black,male
773004,17,201601,2016-01-26,26,Tue,weekday,Jan,Channel O,17:04:00,00:03:30,773004,North West,32,Youth,1,1,black,male
878832,19,201601,2016-01-28,28,Thu,weekday,Jan,Vuzu,19:15:00,00:00:00,878832,Western Cape,34,Youth,1,1,white,female
765679,13,201601,2016-01-24,24,Sun,weekend,Jan,Africa Magic,13:15:00,00:00:06,765679,North West,42,Adult,1,1,black,male
765679,9,201601,2016-01-26,26,Tue,weekday,Jan,SawSee,09:20:00,00:00:00,765679,North West,42,Adult,1,1,black,male
765679,6,201601,2016-01-30,30,Sat,weekend,Jan,Cartoon Network,06:17:00,00:02:30,765679,North West,42,Adult,1,1,black,male
765679,16,201601,2016-01-27,27,Wed,weekday,Jan,Cartoon Network,16:36:00,00:01:20,765679,North West,42,Adult,1,1,black,male
808640,6,201602,2016-02-25,56,Thu,weekday,Feb,E! Entertainment,06:05:00,00:01:30,808640,Gauteng,40,Adult,1,1,indian_asian,male
893742,8,201603,2016-03-23,83,Wed,weekday,Mar,ICC Cricket World Cup 2011,08:50:00,00:12:48,893742,Gauteng,71,Pensioner,1,1,indian_asian,male
893742,18,201603,2016-03-15,75,Tue,weekday,Mar,SuperSport Blitz,18:19:00,00:16:58,893742,Gauteng,71,Pensioner,1,1,indian_asian,male
893742,8,201603,2016-03-16,76,Wed,weekday,Mar,ICC Cricket World Cup 2011,08:36:00,00:06:00,893742,Gauteng,71,Pensioner,1,1,indian_asian,male
893742,9,201603,2016-03-16,76,Wed,weekday,Mar,Channel O,09:33:00,00:00:27,893742,Gauteng,71,Pensioner,1,1,indian_asian,male
2361547,12,201603,2016-03-07,67,Mon,weekday,Mar,ICC Cricket World Cup 2011,12:12:00,00:02:04,2361547,Gauteng,27,Youth,1,1,indian_asian,female
2361547,12,201603,2016-03-07,67,Mon,weekday,Mar,SuperSport Blitz,12:20:00,00:07:42,2361547,Gauteng,27,Youth,1,1,indian_asian,female
907060,11,201603,2016-03-30,90,Wed,weekday,Mar,ICC Cricket World Cup 2011,11:23:00,00:09:22,907060,Gauteng,24,Youth,1,1,indian_asian,male
907060,22,201603,2016-03-26,86,Sat,weekend,Mar,Trace TV,22:05:00,00:00:33,907060,Gauteng,24,Youth,1,1,indian_asian,male
810224,19,201602,2016-02-16,47,Tue,weekday,Feb,Supersport Live Events,19:56:00,00:03:26,810224,Gauteng,45,Adult,1,1,black,male
810224,10,201601,2016-01-20,20,Wed,weekday,Jan,Channel O,10:49:00,00:15:42,810224,Gauteng,45,Adult,1,1,black,male
810224,16,201601,2016-01-27,27,Wed,weekday,Jan,Africa Magic,16:26:00,00:02:17,810224,Gauteng,45,Adult,1,1,black,male
2021345,10,201603,2016-03-08,68,Tue,weekday,Mar,Vuzu,10:33:00,00:00:46,2021345,Western Cape,28,Youth,1,1,coloured,male
2021345,21,201603,2016-03-05,65,Sat,weekend,Mar,Supersport Live Events,21:24:00,00:00:24,2021345,Western Cape,28,Youth,1,1,coloured,male
2021345,14,201603,2016-03-07,67,Mon,weekday,Mar,ICC Cricket World Cup 2011,14:52:00,00:00:56,2021345,Western Cape,28,Youth,1,1,coloured,male
833128,13,201603,2016-03-18,78,Fri,weekday,Mar,Cartoon Network,13:29:00,00:04:04,833128,Gauteng,30,Youth,1,1,black,male
833128,5,201603,2016-03-12,72,Sat,weekend,Mar,Channel O,05:41:00,00:01:03,833128,Gauteng,30,Youth,1,1,black,male
833128,16,201603,2016-03-10,70,Thu,weekday,Mar,SawSee,16:05:00,00:06:05,833128,Gauteng,30,Youth,1,1,black,male
804782,2,201601,2016-01-04,04,Mon,weekday,Jan,Live Events,02:21:00,00:01:15,804782,Kwazulu Natal,32,Youth,1,1,indian_asian,male
893745,17,201603,2016-03-11,71,Fri,weekday,Mar,Cartoon Network,17:19:00,00:00:19,893745,Mpumalanga,39,Adult,1,1,indian_asian,male
893745,13,201603,2016-03-18,78,Fri,weekday,Mar,ICC Cricket World Cup 2011,13:14:00,00:11:28,893745,Mpumalanga,39,Adult,1,1,indian_asian,male
955342,14,201603,2016-03-27,87,Sun,weekend,Mar,ICC Cricket World Cup 2011,14:43:00,00:00:00,955342,Gauteng,31,Youth,1,1,indian_asian,male
